"time"	"method"	"train"	"testing"	"validation"	"runTime"	"train_cols"	"train_rows"	"test_rows"	"val_rows"	"result"
"2015-11-25 12:21:41"	"gamLoess"	0.606780027850262	0.609666831527359	0.610126104198577	154.6	21	10142	111205	47659	"SUCCESS"
"2015-11-25 12:22:09"	"gamSpline"	0.661210576332411	0.661121352457174	0.66245619924883	27.2	21	10142	111205	47659	"SUCCESS"
"2015-11-25 12:25:01"	"gaussprLinear"	NA	NA	NA	170.9	21	10142	111205	47659	"Error in train.default(x, y, weights = w, ...): Stopping"
"2015-11-25 14:21:34"	"GFS.GCCL"	0.542495976179684	0.543923384739895	0.543989592731698	7132	21	10142	111205	47659	"SUCCESS"
"2015-11-25 14:24:37"	"glmnet"	0.658449701808517	0.654278134975945	0.657336494680963	43.4	21	10142	111205	47659	"SUCCESS"
"2015-11-25 14:24:59"	"glmStepAIC"	0.659337596628567	0.65500651949103	0.65836463207369	22.7	21	10142	111205	47659	"SUCCESS"
"2015-11-25 14:49:18"	"gpls"	0.547524891098709	0.550029225304618	0.548207054281458	1458.4	21	10142	111205	47659	"SUCCESS"
"2015-11-25 14:52:11"	"hda"	0.598501639378681	0.596025358572007	0.590381669779055	179.6	21	10142	111205	47659	"SUCCESS"
"2015-11-25 14:52:19"	"hdda"	0.543384162686599	0.548779281507127	0.546087832308693	2	21	10142	111205	47659	"SUCCESS"
"2015-11-25 14:52:20"	"kernelpls"	0.545157038597424	0.548005934984938	0.545584254810214	2	21	10142	111205	47659	"SUCCESS"
"2015-11-25 16:55:13"	"kknn"	0.575229110606448	0.579434377950632	0.582240500220315	7383.3	21	10142	111205	47659	"SUCCESS"
"2015-11-25 16:55:49"	"knn"	0.557188476968697	0.568580549435727	0.569420256404876	33.9	21	10142	111205	47659	"SUCCESS"
